PARK,BOROUGH,SIZE (ACRES),CATEGORY,Murder,RAPE,ROBBERY,FELONY ASSAULT,BURGLARY,GRAND LARCENY,GRAND LARCENY OF MOTOR VEHICLE,TOTAL
GRACE PLAYGROUND,BROOKLYN     ,2.744,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GREEN CENTRAL KNOLL,BROOKLYN     ,2.741,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DETECTIVE WILLIAM T. GUNN PARK,QUEENS       ,2.719,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOLY COW PLAYGROUND,QUEENS       ,2.700,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BAYSIDE FIELDS,QUEENS       ,2.690,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HICKMAN PLAYGROUND,BROOKLYN     ,2.656,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ARBUTUS WOODS PARK,STATEN ISLAND,2.650,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STARS & STRIPES PLAYGROUND,BRONX        ,2.646,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
P.O. SERRANO PLAYGROUND,BRONX        ,2.618,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLEMAN PLAYGROUND,MANHATTAN    ,2.610,ONE ACRE OR LARGER,0,0,1,0,0,1,0,2
MARGARET I. CARMAN GREEN - WEEPING BEECH,QUEENS       ,2.600,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KATHY REILLY TRIANGLE,BROOKLYN     ,2.589,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RIVERDALE PLAYGROUND,BRONX        ,2.580,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARIE CURIE PARK,QUEENS       ,2.552,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EDENWALD PLAYGROUND,BRONX        ,2.537,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THOMAS GREENE PLAYGROUND,BROOKLYN     ,2.525,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MURRAY PLAYGROUND,QUEENS       ,2.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BATHGATE PLAYGROUND,BRONX        ,2.500,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BIG BUSH PARK,QUEENS       ,2.500,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOSEPH RODMAN DRAKE PARK,BRONX        ,2.490,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
INDEPENCE PARK SYLVAN GROVE CEMETERY,STATEN ISLAND,2.476,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEY PARK,QUEENS       ,2.446,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FREDERICK JOHNSON PLAYGROUND,MANHATTAN    ,2.445,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DAMROSCH PARK,MANHATTAN    ,2.443,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ASSER LEVY PLAYGROUND,MANHATTAN    ,2.436,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARRY MAZE PLAYGROUND,BROOKLYN     ,2.427,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOST BATTALION HALL RECREATION CENTER,QUEENS       ,2.412,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DUTCH KILLS PLAYGROUND,QUEENS       ,2.400,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
KOSCIUSZKO POOL,BROOKLYN     ,2.391,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WEST PLAYGROUND,BROOKLYN     ,2.387,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOMECREST PLAYGROUND,BROOKLYN     ,2.372,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
DE MATTI PLAYGROUND,STATEN ISLAND,2.335,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POE PARK,BRONX        ,2.331,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OVERLOOK PARK,QUEENS       ,2.327,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BARUCH PLAYGROUND,MANHATTAN    ,2.320,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLOYD PATTERSON BALLFIELDS,BROOKLYN     ,2.300,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OSBORN PLAYGROUND,BROOKLYN     ,2.300,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAILROAD PLAYGROUND,BROOKLYN     ,2.300,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TRIBORO PLAZA,MANHATTAN    ,2.300,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POWER PLAYGROUND,BROOKLYN     ,2.295,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MONSIGNOR CRAWFORD FIELD,BROOKLYN     ,2.291,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARTIN LUTHER KING JR. PLAYGROUND,BROOKLYN     ,2.290,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
P.O. REINALDO SALGADO PLAYGROUND,BROOKLYN     ,2.289,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
CARLTON PARK AT CARLTON AVENUE & FOSTER ROAD,STATEN ISLAND,2.288,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CENTURY PLAYGROUND,BROOKLYN     ,2.282,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SOUTH PACIFIC PLAYGROUND,BROOKLYN     ,2.264,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTH SHORE ESPLANADE,STATEN ISLAND,2.252,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FOX PLAYGROUND BROOKLYN,BROOKLYN     ,2.250,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VLEIGH PLAYGROUND,QUEENS       ,2.243,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAREDO AVENUE PARCEL,STATEN ISLAND,2.223,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FREDERICK B. JUDGE PLAYGROUND,QUEENS       ,2.217,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELMONT PLAYGROUND BRONX,BRONX        ,2.213,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAHONEY PLAYGROUND,STATEN ISLAND,2.210,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
ANCHORAGE PLAZA,BROOKLYN     ,2.200,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ASTORIA HEIGHTS PLAYGROUND,QUEENS       ,2.200,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HOYT PLAYGROUND,QUEENS       ,2.200,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LORETO PLAYGROUND,BRONX        ,2.181,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARDING PARK,BRONX        ,2.160,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WASHINGTON MARKET PARK,MANHATTAN    ,2.150,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
VIDALIA PARK,BRONX        ,2.136,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON E 122ND STREET,MANHATTAN    ,2.130,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIDGE PARK BROOKLYN,BROOKLYN     ,2.117,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
HAMILTON METZ FIELD,BROOKLYN     ,2.112,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CARDOZO PLAYGROUND,QUEENS       ,2.096,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CENTREVILLE PLAYGROUND,QUEENS       ,2.095,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REDFERN PLAYGROUND,QUEENS       ,2.093,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHEEPSHEAD PLAYGROUND,BROOKLYN     ,2.087,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STORY PLAYGROUND,BRONX        ,2.075,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SAKURA PARK,MANHATTAN    ,2.067,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LINNAEUS PARK,QUEENS       ,2.066,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASTLEWOOD PLAYGROUND,QUEENS       ,2.059,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SKYLINE PLAYGROUND,STATEN ISLAND,2.057,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLOVE'S TAIL,STATEN ISLAND,2.056,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DANIEL M. O'CONNELL PLAYGROUND,QUEENS       ,2.043,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CHALLENGE PLAYGROUND,QUEENS       ,2.035,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TORSNEY PLAYGROUND,QUEENS       ,2.027,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LOCUST MANOR PLAYGROUND,QUEENS       ,2.003,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND ONE THIRTY FOUR CXXXIV,BRONX        ,2.000,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FULTON PARK,BROOKLYN     ,1.987,ONE ACRE OR LARGER,0,0,0,1,0,1,0,2
ANDREW HASWELL GREEN PARK,MANHATTAN    ,1.984,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOORE HOMESTEAD PLAYGROUND,QUEENS       ,1.978,ONE ACRE OR LARGER,0,0,0,1,0,0,0,1
MCLAUGHLIN PARK,BROOKLYN     ,1.976,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
COLONEL DAVID MARCUS PLAYGROUND,BROOKLYN     ,1.974,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUMNER PLAYGROUND,BROOKLYN     ,1.970,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROSEMARY'S PLAYGROUND,QUEENS       ,1.967,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SAUL WEPRIN PLAYGROUND,QUEENS       ,1.964,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FREDERICK DOUGLASS PLAYGROUND,MANHATTAN    ,1.945,ONE ACRE OR LARGER,0,0,0,0,0,1,0,1
UNNAMED PARK ON HEMPSTEAD AVENUE,QUEENS       ,1.940,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIDGE PARK 3,BROOKLYN     ,1.934,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THE PAINTER'S PLAYGROUND,QUEENS       ,1.932,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROBERTO CLEMENTE BALLFIELD,BROOKLYN     ,1.930,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TERRACE PLAYGROUND,STATEN ISLAND,1.922,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TRAVERS PARK,QUEENS       ,1.919,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BUFANO PARK,BRONX        ,1.904,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DIMATTINA PLAYGROUND,BROOKLYN     ,1.900,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HERMAN DOLGON PLAYGROUND,BROOKLYN     ,1.894,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GORMAN PARK,MANHATTAN    ,1.890,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
WILLIS PLAYGROUND,BRONX        ,1.882,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WEST BRONX RECREATION CENTER,BRONX        ,1.880,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THOMAS PAINE PARK,MANHATTAN    ,1.875,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CARROLL PARK,BROOKLYN     ,1.874,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLGATE CLOSE,BRONX        ,1.871,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LONDON PLANETREE PLAYGROUND,QUEENS       ,1.837,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SUTTER BALLFIELDS,BROOKLYN     ,1.836,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TAAFFE PLAYGROUND,BROOKLYN     ,1.821,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GIVAN SQUARE,BRONX        ,1.820,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THOMAS BOYLAND PARK,BROOKLYN     ,1.820,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAROLD ICKES PLAYGROUND,BROOKLYN     ,1.816,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REV J POLITE PLAYGROUND,BRONX        ,1.815,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAPES BALLFIELD,BRONX        ,1.806,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDLAND MALLS,QUEENS       ,1.803,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BENNETT PARK,MANHATTAN    ,1.800,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CEDAR PLAYGROUND,BRONX        ,1.800,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CONCH PLAYGROUND,QUEENS       ,1.800,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RAYMOND BUSH PLAYGROUND,BROOKLYN     ,1.795,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND 52 LII,BRONX        ,1.793,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DR. GREEN PLAYGROUND,BROOKLYN     ,1.791,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRUST PARK,BRONX        ,1.790,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LAURELTON PLAYGROUND,QUEENS       ,1.785,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MANOR PARK,STATEN ISLAND,1.780,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SIMEONE PARK,QUEENS       ,1.780,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TAPPEN PARK,STATEN ISLAND,1.777,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LUNA PARK,BROOKLYN     ,1.760,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALFRED E. SMITH PLAYGROUND,MANHATTAN    ,1.750,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ELECTRIC PLAYGROUND,QUEENS       ,1.749,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
YELLOWSTONE PARK,QUEENS       ,1.745,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CORONA GOLF PLAYGROUND,QUEENS       ,1.722,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WILSON PLAYGROUND,BROOKLYN     ,1.721,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NORTHERN PLAYGROUND,QUEENS       ,1.719,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BARTEL-PRITCHARD SQUARE,BROOKLYN     ,1.711,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DOUGHBOY PLAZA,QUEENS       ,1.710,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CASTLE HILL LITTLE LEAGUE FIELD,BRONX        ,1.707,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GRAND FERRY PARK,BROOKLYN     ,1.700,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HAPPY WARRIOR PLAYGROUND,MANHATTAN    ,1.700,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLEN MALL ONE,MANHATTAN    ,1.698,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND ONE TWENTY FIVE CXXV,MANHATTAN    ,1.691,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
STAR SPANGLED PLAYGROUND,BROOKLYN     ,1.687,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PATTERSON PLAYGROUND,BRONX        ,1.683,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MOUNT EDEN MALLS,BRONX        ,1.682,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MIDLAND PLAYGROUND,STATEN ISLAND,1.681,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ADAM CLAYTON POWELL JR. MALLS,MANHATTAN    ,1.679,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BANNEKER PLAYGROUND,BROOKLYN     ,1.670,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JAMES J WALKER PARK,MANHATTAN    ,1.670,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WHITESTONE PLAYGROUND,QUEENS       ,1.662,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
EQUITY PARK,QUEENS       ,1.657,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
THURSBY BASIN PARK,QUEENS       ,1.657,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELL MALLS,QUEENS       ,1.652,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LEIF ERICSON FIELDS,BROOKLYN     ,1.650,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
NEHEMIAH PARK,BROOKLYN     ,1.648,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
MARBLE HILL PLAYGROUND,BRONX        ,1.646,ONE ACRE OR LARGER,0,0,1,0,0,0,0,1
WAGNER HOUSES POOL,MANHATTAN    ,1.640,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARLEM LANE PLAYGROUND,MANHATTAN    ,1.635,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CROWLEY PLAYGROUND,QUEENS       ,1.633,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BURNS PLAYGROUND,BRONX        ,1.623,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
100% PLAYGROUND,BROOKLYN     ,1.616,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JACKIE ROBINSON PARK BROOKLYN,BROOKLYN     ,1.607,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
IDA COURT,STATEN ISLAND,1.600,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JENNIFER'S PLAYGROUND,STATEN ISLAND,1.600,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REAL GOOD PARK,QUEENS       ,1.598,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALLERTON PLAYGROUND,BRONX        ,1.597,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OCEAN HILL PLAYGROUND,BROOKLYN     ,1.595,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BELLEVUE SOUTH PARK,MANHATTAN    ,1.593,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DAG HAMMARSKJOLD PLAZA,MANHATTAN    ,1.590,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAZZEI PLAYGROUND,BRONX        ,1.590,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
KOLBERT PLAYGROUND,BROOKLYN     ,1.581,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OLMSTED-BEIL HOUSE PARK,STATEN ISLAND,1.580,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
POOR RICHARD'S PLAYGROUND,MANHATTAN    ,1.580,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOAN OF ARC PARK,MANHATTAN    ,1.578,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TAYLOR PLAYGROUND,BRONX        ,1.578,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HARMONY PARK,BROOKLYN     ,1.560,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BRIARWOOD PLAYGROUND,QUEENS       ,1.558,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
CLINTONVILLE PLAYGROUND,QUEENS       ,1.553,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FLATBUSH MALLS,BROOKLYN     ,1.550,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WASHINGTON PARK BROOKLYN,BROOKLYN     ,1.549,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOHN HANCOCK PLAYGROUND,BROOKLYN     ,1.547,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRANK D. O'CONNOR PLAYGROUND,QUEENS       ,1.537,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
OLD TOWN PLAYGROUND,STATEN ISLAND,1.534,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
HUGUENOT PONDS PARK,STATEN ISLAND,1.530,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
REIFF PLAYGROUND,QUEENS       ,1.529,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
RUSSELL SAGE PLAYGROUND,QUEENS       ,1.526,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ROGER MORRIS PARK,MANHATTAN    ,1.524,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BROAD CHANNEL PARK,QUEENS       ,1.520,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
JOHN ALLEN PAYNE PARK,BROOKLYN     ,1.510,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SPUYTEN DUYVIL PLAYGROUND,BRONX        ,1.510,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BULOVA PARK,QUEENS       ,1.502,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DECATUR PLAYGROUND,BROOKLYN     ,1.500,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DRY DOCK PLAYGROUND,MANHATTAN    ,1.500,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GOLCONDA PLAYGROUND,BROOKLYN     ,1.500,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MAPLE GROVE PARK,QUEENS       ,1.500,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
UNNAMED PARK ON RIVERSIDE DRIVE,MANHATTAN    ,1.494,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
MARX BROTHERS PLAYGROUND,MANHATTAN    ,1.486,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BREVOORT PLAYGROUND,BROOKLYN     ,1.485,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND SIXTY TWO LXII,QUEENS       ,1.480,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
TALL OAK PLAYGROUND,QUEENS       ,1.480,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
FRONTERA PARK,QUEENS       ,1.470,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
COLDEN PLAYGROUND,QUEENS       ,1.466,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
LUTHER GULICK PLAYGROUND,MANHATTAN    ,1.451,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PULASKI PARK,BRONX        ,1.450,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
BOOKER T. WASHINGTON PLAYGROUND,MANHATTAN    ,1.441,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
DUNBAR PLAYGROUND,BRONX        ,1.440,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PLAYGROUND TWENTY ONE,QUEENS       ,1.439,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
PROSPECT PLAYGROUND,BRONX        ,1.438,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
WOODS PLAYGROUND,BROOKLYN     ,1.438,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
ALMEDA PLAYGROUND,QUEENS       ,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GAETA PARK,STATEN ISLAND,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
GLENWOOD PLAYGROUND,BROOKLYN     ,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
SHELTERING ARMS PLAYGROUND,MANHATTAN    ,1.430,ONE ACRE OR LARGER,0,0,0,0,0,0,0,0
